ID ,Nme in English,Name in Amharic,Position,Place of Assignment,Detail,,
168,Dr. Tsehaynesh Mesele Gidey,?/? ????? ??? ???,?? ??????,???? ??? ????? ???? ????.,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
169,Tsehay T/Michael Temanu,?? ??? ?/???? ???,?? ??????,????? ??? ????? ????? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
170,Wondirad Mandefro Gebru,?? ?????? ????? ???,?/???,????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
171,Wondu Legesse Gizaw,?? ??? ??? ???,?? ??????,??? ?????? ??? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
172,Wosenyeleh Hunegnaw Tadege,?? ?????? ???? ???,?? ??????,??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
173,Wondimu Teklie Sigo,?? ???? ??? ??,?/? ???,??? ???? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
174,Wondwosen Kiflu W/Michael,?? ?????? ??? ?/????,?/? ???,????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
175,Wondwosen Fisha Kidanie,?? ?????? ??? ???,?/??????,????? ??-?? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
176,Workneh Gebeyehu Negewo,?? ????? ???? ???,?? ??????,???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
177,Wubshet Shiferaw Shigultu,?? ???? ???? ????,??????,?/?/?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
178,Yakob Mudesir Seid,?? ??? ???? ???,?/?/??????,????? ??????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
179,Yakob Yala Yabo,?? ???? ?? ??,?/? ???,??? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
180,Yaregal Aysheshum Birhane,?? ???? ????? ????,?? ??????,??/?/?/????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
181,Yassin Mossa Ali,?? ??? ?? ??,?/?? ??????,?????? ??????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
182,Yehulu Deneqew Alamneh,?? ??? ???? ?????,››,???.??/??.??.?.??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
183,Yemane Yossef Tesfaye,?? ??? ??? ????,???? ??,????? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
184,Yeserah Bishaw Jemberie,?? ???? ??? ????,?/?/??????,??? ???? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
185,Yigezu Daba Gebisa,?? ??? ?? ???,?/?? ??????,?????? ??? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
186,Yirgu Edilu Teshome,??? ??? ???,?/? ??? ??? ?/?????,??? ??? ??? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
187,Yirga Tadesse Mathewos ,?? ??? ??? ????,???,???? ????? ???? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
188,Yishak Abera Reda,?? ???? ??? ??,?/?? ??????,??? ??? ?/??,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
189,Yohannes Ayalew Biru,?? ???? ???? ??,?/??,???.???? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
190,Zeyid W/Gebriel Hagos,?? ??? ?/????? ???,?? ??????,???. ????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
191,Zeray Asgidom Woreta,?? ???? ????? ???,?? ?/?????,?/?/????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
192,Zerihun Kebede Wudie,?? ???? ??? ??,?/? ???,????? ????? ?/?,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
193,Pr. Zinabu G/Mariyam W/Senbet ,?/? ??? ??????? ?/????,?/??????,???? ????? ????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
194,Getahun Tadesse Mekonnen,?? ???? ??? ????,?/??????,?????? ???? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
195,Beker Shallie Dulie,?? ??? ?? ??,?? ??????,?????? ????? ???? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
196,Abebaw Taddesse Asres,?/? ???? ??? ????,?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
197,Abera T/yohannes W/semaiat,?/? ??? ?/???? ?/????,??? ?/?,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
198,Abiy Ahmed Ali,??? ???? ??,?/?/???/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
199,Abrha Arefe Hadera,?/? ???? ??? ???,???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
200,Abrha W/mariam Genzebu,?/???? ???? ?/???? ????,?? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
201,Adem Mehamed Mahmud,?/? ??? ???? ????,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
202,Akele Asa Asfaw,?/? ??? ?? ????,??? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
203,Alemu Ayele Tessema,??? ??? ???,???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
204,Bacha Debele Buta,?/? ?? ??? ??,???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
205,Bayu Wnedaferaw Haile,?/? ?? ?????? ???,?/?/?/?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
206,Berhane Negash Beyene,?/? ???? ??? ???,?? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
207,Birhanu Abera Ashenafi ,?/? ???? ??? ????,????? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
208,Birhanu Jula Gelelcha,?/? ???? ?? ????,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
209,Ephrem Bange Demeksa,?/? ???? ??? ????,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
210,Fiseha Kidanu Fanta,?/? ??? ??? ???,??? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
211,G/egziabher Mebrahtu,?/? ?/??????? ?????,???? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
212,G/michael Beyene Tedila,?/???? ??? ???,???? ????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
213,Gebrat Ayele Bicha,?/? ???? ??? ??,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
214,Gebre Adhana W/ezgi,?/???? ??? ???? ?/???,?/?/?/?,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
215,Getachew Gudina Selbana,????  ??? ????,???? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
216,Getachew Shiferaw Feisa,?/? ???? ???? ???,?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
217,Gezai Abera Desta,?/? ??? ??? ???,????? ?? ???? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
218,H/selassie Girmay G/michael,?/? ?/??? ???? ?/????,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
219,Hintsa W/giorgis Yohnese,?/? ??? ?/???? ????,?? ?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
220,Ibrahim Abdeljelil Mehamedzen,????? ??????? ??????,????? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
221,Kinfe Dagnaw G/selassie,??? ??? ?/???,?? ??????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
222,Mammo Girmay Wendatir,?? ???? ??????,??? ?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
223,Measho Beyene Desta,?/???? ??? ??? ???,?/?? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
224,Mehamedesha Zeinu Tikue,?/? ?????? ??? ???,??/???? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
225,Mehari Zewdu G/mariam,?/? ??? ??? ?/????,??? ??? ??,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
226,Mesele Belete Alemu,??? ??? ???,???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
227,Migbe Haile W/aregay,?/? ??? ??? ?/????,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
228,Misganaw Alemu Teferi,?/? ????? ??? ???,?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
229,Molla H/mariam Alemayehu,?/? ?? ?/???? ?????,??/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
230,Mulugeta Berhe Yilma,?/? ???? ??? ???,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
231,Negash Dagnew Ayele,?/? ??? ??? ??? ,???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
232,Negussie Lemma Dubero,?/? ??? ?? ???,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
233,Samora Yenus Mehamed Fereja,???? ???(????) ??? ???? ???,???? ?????  ??,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
234,Seare Mekonnen Yimer,?/? ??? ???? ???,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
235,Seyoum Hagos Tadeg,??? ??? ???,???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
236,T/Birhan W/aregay G/selassie,?/???? ?/???? ?/???,?/?/??????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
237,Taddesse Werede Tesfay,??? ??? ????,?/???? ???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
238,Teklay Ashebir Gebray,???? ???? ????,?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
239,Temesgen Abebe Kassa,?/? ????? ??? ??,???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
240,Tesfay Gidey H/michael,???? ??? ?/????,??? ?? ??????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
241,Tsegaye Tessema Negussie,?/? ??? ??? ???,???? ?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
242,Wendosen Teka Agegnhu,?/? ????? ?? ????,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
243,Yemane G/kidane,?/? ??? ?/???,?????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
244,Yohannes G/mesekel T/mariam,?/? ???? ?/???? ?/????,??? ??/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
245,Yohannes W/giorgis Tesfay,?/? ???? ?/????? ????,?/???,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
246,Zewdu Eshete Welde,?/? ??? ??? ???,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
247,Hassen Ibrahim Mussa,?/? ??? ????? ??,?/????,National Defence Appointees,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
248,Abadula Gemeda,????? ?? ???? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
249,Abay Tsehaye,??? ?? ??? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
250,Abdulfetah Abdulahi,??? ?? ??????? ?????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
251,Abdurahman Shek Mehammed,??? ?? ??????? ?? ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
252,Alemayehu Tegenu,??? ?? ????? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
253,Amin Abdulkadir,??? ?? ??? ???????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
254,Arkebe Ekubay,??? ?? ???? ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
255,Aster Mamo,???? ?/? ???? ??,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
256,Bereket Simeon,??? ?? ???? ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
257,Birhan Hailu,??? ?? ???? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
258,Dr Debretsiyon G/Michael,??? ?/? ?????? ?/????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
259,Demeke Mekonnen,??? ?? ??? ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
260,Dessie Dalkie,??? ?? ?? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
261,Diriba Kuma,??? ?? ??? ??,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
262,Dr. Fasil Nahom,??? ?/? ??? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
263,President Girma W/Giyorgis,?????? ??? ?/?????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
264,Habtie Fichala,??? ?? ??? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
265,Hailemariyam Dessalegne,????? ?? ?/???? ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
266,Junedin Seado,??? ?? ???? ??,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
267,Kassa T/Birhan,????? ?? ?? ?/????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
268,Mekonnen Manyazewal,??? ?? ???? ??????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
269,Mekuriya Haile,??? ?? ???? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
270,Melaku Fenta,??? ?? ??? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
271,Meles Zenawi,???? ?/? ??? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
272,Muktar Kedir,??? ?? ???? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
273,Niwayekirstos G/Ab,??? ?/?  ???????? ?/??,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
274,Redwan Hussien,??? ?? ???? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
275,Shiferaw Jarso,??? ?? ???? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
276,Dr. Shiferaw T/Mariyam,??? ?/? ???? ?/????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
277,Sinqnesh Ejigu,???? ?/? ????? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
278,Siraj Ferggesa,??? ?? ??? ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
279,Sofiyan Ahmed,??? ?? ????  ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
280,Tefera Deribew,??? ?? ??? ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
281,Tegenie Getaneh,????? ?? ??? ????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
282,Dr. Tewodros Adhanom,??? ?/? ????? ?????,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
283,Tsegay Berihe,??? ?? ??? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
284,Yirgu Edilu,??? ?? ??? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
285,W/Ro Zenebu Tadesse,???? ?/? ??? ???,-,GOVERNMENT OFFICAL,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
286,Abdi Delel Mehammed,???. ??? ??? ????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
287,Abdulaziz Mehammed Adem,???. ?????? ???? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
288,Ali Abdo Suleiman,???. ?? ??? ?????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
289,Asaminew Debelie Bonsa,???. ????? ??? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
290,Asmelash W/Mihret Kidanu,???. ????? ?/???? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
291,Berha Tesfay Hagos,???. ??? ???? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
292,Birhanu Kebede Yeshigeta,???. ???? ??? ????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
293,Bogale Tolossa Maru,???. ??? ??? ??,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
294,Degife Bula Waqjira,???. ??? ?? ????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
295,Fisha Asgidom Tessema,???. ??? ????? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
296,Fisha Yimer Abuye,???. ??? ??? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
297,Genet Zewudie Biru,???. ??? ??? ??,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
298,Gifti Abasiya Ababulgu,???.  ??? ???? ?????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
299,Girma Biru Geda,???. ??? ?? ??,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
300,Hassen Abdela Ali,???. ??? ???? ??,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
301,Hassen Abdeulkadir Berkuto,???. ??? ??????? ????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
302,Hilawi Yossef Mengiste,???.  ??? ??? ?????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
303,Kassahun Dendir Melesse,???. ???? ???? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
304,Dr. Kassu Yilala Ashamie,???. ?/? ?? ??? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
305,Konjit S/Giyorgis W/Mariyam,???. ???? ?/????? ?/????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
306,Dr. Kuwang Tutlam Dung,???. ?/? ??? ???? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
307,Lelalem G/Yohannes Tedla,???. ????? ?/???? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
308,Markos Teklie Rike,???. ???? ??? ??,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
309,Mehamed Dirir Gidie,???. ???? ??? ??,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
310,Mehammed Gudetta Chebela,???. ???? ??? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
311,Mehammed Hassen Abera,???. ???? ??? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
312,Melesse Morimo Maraso,?????? ??? ??? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
313,Minilik Alemu Getahun,???. ???? ??? ????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
314,Misgana Admassu Jebenie,???. ???? ???? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
315,Misganu Arega,???. ???? ??? ,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
316,Dr. Mulatu Teshome Wirtu,???. ?/? ??? ???  ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
317,Siyum Mesfin G/Dingil,???. ??? ???? ?/????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
318,Shemsedin Ahmed Robelie,???. ????? ???? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
319,Tekleab Kebede Aregawi,???. ????? ??? ????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
320,Teshome Toga Cheneka,???. ??? ?? ???,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
321,Wubishet Demissie T/Mariyam,???. ???? ??? ?/????,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
322,Dr. Yeshimebrat Mersha Kassa,???. ?/? ?????? ??? ??,-,Ambassador,FEDERAL GOVERNMENT APPOINTEE AS PER 2003 E.C DATA ,,
323,Abay Abebe,?? ??? ???,?????? ?????? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
324,Abay Mehari Kidane,?? ??? ??? ???,??????  ??? ???,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
325,Abdelhakim Mehammed Abdusebhan,?? ??????? ???? ???????,?????? ?????? ??? ??????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
326,Abebe Ayenew Bekele,?? ??? ???? ???,?? ???? ???????? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
327,Abebe Tesfaye Bantiwalu,?? ??? ???? ?????,???? ? ?? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
328,Adane W/Yohannes W/Senbet,?? ??? ?/???? ?/????,?? ??? ??? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
329,Ahmed Salih Getahun,?? ???? ??? ????,??????? ???????? ???? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
330,Ahmed Yassin Dera,?? ???? ??? ??,???? ????? ?????? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
331,Akalu G/Hiwot Meselu,?? ??? ?/???? ???,??? ???? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
332,Alemayehu Wubshet Zegeye,?? ?????  ???? ???,?????? ??????  ??? ??????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
333,Alemu Ashengo Zarish,?? ??? ???? ????,??? ???????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
334,Alganesh Tesfaye Teferi,?? ?????  ???? ???,???????? ???? ?/?,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
335,Aliy Gemedu Hilo,?? ??? ??? ??,????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
336,Amare Mezgebu Tessema,?? ??? ???? ???,?? ?????? ????,?????? ???? ????  ???,FEDERAL GOVERNMENT PUBLIC ENTERPRISE APPOINTEE AS PER 2003 E.C DATA ,,
